report_date,operation_day,total_day,region,market,market_type,team,sales_rep,total_inflow,retained_users,read_users_today,conversation_users_today,reply_users_today,deep_reply_users_today,follow_up_actions_today,new_accounts_today,total_accounts,paying_users_today,total_paying_users,revenue_today,total_revenue,refund_today,total_refund,net_revenue,team_marketing_cost
2026-01-01,1,40,east,Mexico,developing,Team F,Leo,415,414,293,223,158,79,54,8,8,2,2,426.51,426.51,28.05,28.05,398.46,35000
2026-01-02,2,41,east,Mexico,developing,Team A,Cathy,419,416,253,211,180,109,73,7,17,2,6,400.98,1428.75,36.74,103.78,1324.97,35000
2026-01-02,2,41,east,Mexico,developing,Team A,Alice,300,297,207,158,134,75,58,8,11,2,3,482.27,728.7,42.6,55.25,673.45,35000
2026-01-02,2,41,east,Mexico,developing,Team B,Ben,316,315,190,161,126,76,48,8,14,3,4,471.25,623.75,18.58,35.01,588.74,35000
2026-01-02,2,41,east,Mexico,developing,Team B,David,391,390,279,240,175,105,89,6,13,1,4,242.44,739.01,26.05,46.25,692.76,35000
2026-01-02,2,41,east,Mexico,developing,Team C,Emma,326,323,213,161,142,100,78,3,6,0,1,0.0,218.46,0.0,11.58,206.88,35000
2026-01-02,2,41,east,Mexico,developing,Team C,Frank,397,395,281,252,181,130,104,5,10,2,3,321.88,580.44,8.37,36.91,543.53,35000
2026-01-02,2,41,east,Mexico,developing,Team D,Grace,295,295,221,193,169,104,88,3,9,0,3,0.0,390.52,0.0,46.57,343.95,35000
2026-01-02,2,41,east,Mexico,developing,Team D,Henry,304,302,212,170,143,88,52,7,12,2,4,262.54,628.96,20.23,52.8,576.16,35000
2026-01-02,2,41,east,Mexico,developing,Team E,Ivy,364,362,235,204,143,91,54,10,20,3,7,527.69,1009.83,34.2,50.38,959.45,35000
2026-01-02,2,41,east,Mexico,developing,Team E,Jack,291,288,208,186,138,101,85,6,9,3,3,584.11,584.11,38.31,38.31,545.8,35000
2026-01-02,2,41,east,Mexico,developing,Team F,Kelly,413,412,282,201,160,90,80,6,14,2,5,483.11,1110.96,51.69,73.98,1036.98,35000
2026-01-02,2,41,east,Mexico,developing,Team F,Leo,415,413,303,236,184,95,83,10,18,3,5,692.71,1119.22,56.26,84.31,1034.91,35000
2026-01-03,3,42,east,Mexico,developing,Team A,Cathy,419,415,253,203,158,111,86,10,27,4,10,719.19,2147.94,64.14,167.92,1980.02,35000
2026-01-03,3,42,east,Mexico,developing,Team A,Alice,300,295,193,158,120,80,53,3,14,0,3,0.0,728.7,0.0,55.25,673.45,35000
2026-01-03,3,42,east,Mexico,developing,Team B,Ben,316,315,201,144,121,90,65,7,21,2,6,361.02,984.77,26.93,61.94,922.83,35000
2026-01-03,3,42,east,Mexico,developing,Team B,David,391,390,246,199,149,83,65,6,19,3,7,719.0,1458.01,37.46,83.71,1374.3,35000
2026-01-03,3,42,east,Mexico,developing,Team C,Emma,326,323,227,171,120,66,44,3,9,0,1,0.0,218.46,0.0,11.58,206.88,35000
2026-01-03,3,42,east,Mexico,developing,Team C,Frank,397,395,291,204,155,95,80,8,18,4,7,722.87,1303.31,49.87,86.78,1216.53,35000
2026-01-03,3,42,east,Mexico,developing,Team D,Grace,295,294,203,170,141,91,67,4,13,2,5,253.73,644.25,18.75,65.32,578.93,35000
2026-01-03,3,42,east,Mexico,developing,Team D,Henry,304,301,183,163,134,67,49,5,17,1,5,187.91,816.87,20.9,73.7,743.17,35000
2026-01-03,3,42,east,Mexico,developing,Team E,Ivy,364,361,245,213,189,122,97,8,28,3,10,360.37,1370.2,18.98,69.36,1300.84,35000
2026-01-03,3,42,east,Mexico,developing,Team E,Jack,291,286,212,154,116,77,68,5,14,1,4,213.94,798.05,19.29,57.6,740.45,35000
2026-01-03,3,42,east,Mexico,developing,Team F,Kelly,413,412,282,240,173,95,85,7,21,3,8,708.65,1819.61,50.48,124.46,1695.15,35000
2026-01-03,3,42,east,Mexico,developing,Team F,Leo,415,413,257,218,156,102,74,5,23,1,6,165.07,1284.29,14.84,99.15,1185.14,35000
2026-01-04,4,43,east,Mexico,developing,Team A,Cathy,419,414,271,201,152,107,70,7,34,2,12,516.65,2664.59,45.45,213.37,2451.22,35000
2026-01-04,4,43,east,Mexico,developing,Team A,Alice,300,295,216,190,154,106,91,5,19,2,5,286.06,1014.76,6.42,61.67,953.09,35000
2026-01-04,4,43,east,Mexico,developing,Team B,Ben,316,315,218,192,142,82,51,3,24,0,6,0.0,984.77,0.0,61.94,922.83,35000
2026-01-04,4,43,east,Mexico,developing,Team B,David,391,390,277,208,147,77,60,9,28,3,10,764.57,2222.58,74.46,158.17,2064.41,35000
2026-01-04,4,43,east,Mexico,developing,Team C,Emma,326,322,229,193,172,119,101,5,14,1,2,125.73,344.19,10.99,22.57,321.62,35000
2026-01-04,4,43,east,Mexico,developing,Team C,Frank,397,394,245,202,152,101,67,5,23,2,9,356.81,1660.12,20.83,107.61,1552.51,35000
2026-01-04,4,43,east,Mexico,developing,Team D,Grace,295,293,190,167,130,93,79,4,17,2,7,279.63,923.88,16.49,81.81,842.07,35000
2026-01-04,4,43,east,Mexico,developing,Team D,Henry,304,301,219,196,138,97,81,6,23,2,7,299.64,1116.51,33.72,107.42,1009.09,35000
2026-01-04,4,43,east,Mexico,developing,Team E,Ivy,364,360,237,180,155,105,72,7,35,1,11,178.12,1548.32,16.75,86.11,1462.21,35000
2026-01-04,4,43,east,Mexico,developing,Team E,Jack,291,286,202,152,115,83,66,8,22,2,6,469.66,1267.71,44.77,102.37,1165.34,35000
2026-01-04,4,43,east,Mexico,developing,Team F,Kelly,413,412,278,198,155,80,53,5,26,2,10,339.86,2159.47,34.84,159.3,2000.17,35000
2026-01-04,4,43,east,Mexico,developing,Team F,Leo,415,412,303,237,193,137,82,9,32,3,9,542.29,1826.58,49.73,148.88,1677.7,35000
2026-01-05,5,44,east,Mexico,developing,Team A,Cathy,419,413,309,227,191,104,89,6,40,1,13,154.85,2819.44,8.08,221.45,2597.99,35000
2026-01-05,5,44,east,Mexico,developing,Team A,Alice,300,295,194,142,105,69,47,5,24,1,6,193.88,1208.64,6.91,68.58,1140.06,35000
2026-01-05,5,44,east,Mexico,developing,Team B,Ben,316,313,228,185,133,68,60,6,30,1,7,217.14,1201.91,21.09,83.03,1118.88,35000
2026-01-05,5,44,east,Mexico,developing,Team B,David,391,390,255,217,186,100,60,6,34,1,11,169.0,2391.58,17.64,175.81,2215.77,35000
2026-01-05,5,44,east,Mexico,developing,Team C,Emma,326,320,197,159,119,66,39,3,17,1,3,217.4,561.59,13.95,36.52,525.07,35000
2026-01-05,5,44,east,Mexico,developing,Team C,Frank,397,393,243,199,150,102,74,10,33,3,12,367.84,2027.96,29.51,137.12,1890.84,35000
2026-01-05,5,44,east,Mexico,developing,Team D,Grace,295,292,203,160,124,90,55,4,21,1,8,136.32,1060.2,5.65,87.46,972.74,35000
2026-01-05,5,44,east,Mexico,developing,Team D,Henry,304,301,189,134,113,75,46,8,31,2,9,268.19,1384.7,11.72,119.14,1265.56,35000
2026-01-05,5,44,east,Mexico,developing,Team E,Ivy,364,359,224,156,113,83,58,6,41,3,14,772.27,2320.59,24.14,110.25,2210.34,35000
2026-01-05,5,44,east,Mexico,developing,Team E,Jack,291,285,211,185,148,111,88,8,30,4,10,725.45,1993.16,78.72,181.09,1812.07,35000
2026-01-05,5,44,east,Mexico,developing,Team F,Kelly,413,410,276,237,181,97,67,9,35,3,13,753.99,2913.46,73.44,232.74,2680.72,35000
2026-01-05,5,44,east,Mexico,developing,Team F,Leo,415,411,294,235,168,119,96,10,42,3,12,644.04,2470.62,70.46,219.34,2251.28,35000
2026-01-06,6,45,east,Mexico,developing,Team A,Cathy,419,413,280,211,149,77,53,9,49,3,16,551.13,3370.57,62.44,283.89,3086.68,35000
2026-01-06,6,45,east,Mexico,developing,Team A,Alice,300,295,206,149,111,63,41,7,31,1,7,128.01,1336.65,13.82,82.4,1254.25,35000
2026-01-06,6,45,east,Mexico,developing,Team B,Ben,316,313,188,135,120,60,51,4,34,1,8,189.09,1391.0,9.13,92.16,1298.84,35000
2026-01-06,6,45,east,Mexico,developing,Team B,David,391,389,258,196,159,99,59,5,39,2,13,462.6,2854.18,47.21,223.02,2631.16,35000
2026-01-06,6,45,east,Mexico,developing,Team C,Emma,326,320,193,136,97,59,35,5,22,1,4,213.59,775.18,21.16,57.68,717.5,35000
2026-01-06,6,45,east,Mexico,developing,Team C,Frank,397,391,268,228,205,131,99,6,39,3,15,620.69,2648.65,44.58,181.7,2466.95,35000
2026-01-06,6,45,east,Mexico,developing,Team D,Grace,295,290,184,155,111,65,43,4,25,1,9,158.3,1218.5,3.99,91.45,1127.05,35000
2026-01-06,6,45,east,Mexico,developing,Team D,Henry,304,300,191,167,124,69,55,3,34,1,10,192.09,1576.79,15.58,134.72,1442.07,35000
2026-01-06,6,45,east,Mexico,developing,Team E,Ivy,364,357,230,170,126,64,56,10,51,2,16,458.72,2779.31,46.04,156.29,2623.02,35000
2026-01-06,6,45,east,Mexico,developing,Team E,Jack,291,284,204,147,114,67,50,6,36,3,13,598.47,2591.63,13.52,194.61,2397.02,35000
2026-01-06,6,45,east,Mexico,developing,Team F,Kelly,413,408,297,265,196,142,116,7,42,2,15,294.29,3207.75,31.81,264.55,2943.2,35000
2026-01-06,6,45,east,Mexico,developing,Team F,Leo,415,409,249,213,173,112,78,8,50,4,16,957.18,3427.8,34.61,253.95,3173.85,35000
2026-01-07,7,46,east,Mexico,developing,Team A,Cathy,419,413,302,247,184,131,96,6,55,1,17,252.6,3623.17,7.45,291.34,3331.83,35000
2026-01-07,7,46,east,Mexico,developing,Team A,Alice,300,295,181,129,101,65,47,3,34,1,8,137.91,1474.56,5.23,87.63,1386.93,35000
2026-01-07,7,46,east,Mexico,developing,Team B,Ben,316,312,220,159,118,79,53,4,38,1,9,124.19,1515.19,4.06,96.22,1418.97,35000
2026-01-07,7,46,east,Mexico,developing,Team B,David,391,388,284,207,180,129,113,8,47,4,17,940.03,3794.21,101.17,324.19,3470.02,35000
2026-01-07,7,46,east,Mexico,developing,Team C,Emma,326,320,236,180,148,87,78,3,25,0,4,0.0,775.18,0.0,57.68,717.5,35000
2026-01-07,7,46,east,Mexico,developing,Team C,Frank,397,390,265,208,164,97,87,10,49,3,18,417.0,3065.65,8.99,190.69,2874.96,35000
2026-01-07,7,46,east,Mexico,developing,Team D,Grace,295,289,208,183,146,108,81,8,33,2,11,302.69,1521.19,25.02,116.47,1404.72,35000
2026-01-07,7,46,east,Mexico,developing,Team D,Henry,304,298,210,171,151,93,67,7,41,3,13,462.47,2039.26,47.51,182.23,1857.03,35000
2026-01-07,7,46,east,Mexico,developing,Team E,Ivy,364,357,248,179,161,113,92,8,59,3,19,371.01,3150.32,11.81,168.1,2982.22,35000
2026-01-07,7,46,east,Mexico,developing,Team E,Jack,291,284,186,162,118,61,41,3,39,1,14,181.8,2773.43,10.29,204.9,2568.53,35000
2026-01-07,7,46,east,Mexico,developing,Team F,Kelly,413,407,276,218,182,136,116,6,48,2,17,433.78,3641.53,35.77,300.32,3341.21,35000
2026-01-07,7,46,east,Mexico,developing,Team F,Leo,415,408,273,212,183,109,72,8,58,3,19,541.46,3969.26,12.21,266.16,3703.1,35000
2026-01-08,8,47,east,Mexico,developing,Team A,Cathy,419,412,286,232,176,109,83,8,63,4,21,679.02,4302.19,45.05,336.39,3965.8,35000
2026-01-08,8,47,east,Mexico,developing,Team A,Alice,300,295,209,170,136,90,81,8,42,2,10,381.74,1856.3,41.38,129.01,1727.29,35000
2026-01-08,8,47,east,Mexico,developing,Team B,Ben,316,311,232,192,137,81,59,4,42,2,11,490.46,2005.65,53.19,149.41,1856.24,35000
2026-01-08,8,47,east,Mexico,developing,Team B,David,391,388,252,212,187,121,105,7,54,3,20,545.16,4339.37,34.13,358.32,3981.05,35000
2026-01-08,8,47,east,Mexico,developing,Team C,Emma,326,320,213,190,163,112,94,6,31,1,5,189.64,964.82,18.34,76.02,888.8,35000
2026-01-08,8,47,east,Mexico,developing,Team C,Frank,397,389,274,232,164,97,86,5,54,2,20,277.87,3343.52,12.57,203.26,3140.26,35000
2026-01-08,8,47,east,Mexico,developing,Team D,Grace,295,289,181,154,132,83,59,6,39,3,14,386.94,1908.13,19.95,136.42,1771.71,35000
2026-01-08,8,47,east,Mexico,developing,Team D,Henry,304,297,205,147,123,71,61,7,48,2,15,443.66,2482.92,15.59,197.82,2285.1,35000
2026-01-08,8,47,east,Mexico,developing,Team E,Ivy,364,357,223,179,140,93,60,6,65,3,22,636.71,3787.03,52.36,220.46,3566.57,35000
2026-01-08,8,47,east,Mexico,developing,Team E,Jack,291,283,186,134,95,58,37,8,47,2,16,291.77,3065.2,27.67,232.57,2832.63,35000
2026-01-08,8,47,east,Mexico,developing,Team F,Kelly,413,406,290,237,182,102,87,7,55,1,18,211.06,3852.59,9.9,310.22,3542.37,35000
2026-01-08,8,47,east,Mexico,developing,Team F,Leo,415,407,287,200,176,130,102,10,68,3,22,658.45,4627.71,33.07,299.23,4328.48,35000
2026-01-09,9,48,east,Mexico,developing,Team A,Cathy,419,412,265,219,178,111,75,6,69,1,22,140.64,4442.83,10.21,346.6,4096.23,35000
2026-01-09,9,48,east,Mexico,developing,Team A,Alice,300,293,198,144,126,66,51,6,48,2,12,387.7,2244.0,45.95,174.96,2069.04,35000
2026-01-09,9,48,east,Mexico,developing,Team B,Ben,316,311,211,175,144,108,77,8,50,4,15,571.42,2577.07,17.18,166.59,2410.48,35000
2026-01-09,9,48,east,Mexico,developing,Team B,David,391,386,249,195,144,82,67,5,59,1,21,205.08,4544.45,10.92,369.24,4175.21,35000
2026-01-09,9,48,east,Mexico,developing,Team C,Emma,326,320,235,209,169,126,107,5,36,2,7,428.14,1392.96,10.21,86.23,1306.73,35000
2026-01-09,9,48,east,Mexico,developing,Team C,Frank,397,389,251,217,191,97,64,6,60,1,21,129.16,3472.68,11.14,214.4,3258.28,35000
2026-01-09,9,48,east,Mexico,developing,Team D,Grace,295,288,196,169,124,82,71,6,45,2,16,509.74,2417.87,44.04,180.46,2237.41,35000
2026-01-09,9,48,east,Mexico,developing,Team D,Henry,304,296,188,149,106,75,47,3,51,1,16,149.64,2632.56,5.27,203.09,2429.47,35000
2026-01-09,9,48,east,Mexico,developing,Team E,Ivy,364,357,216,193,160,107,91,5,70,2,24,407.31,4194.34,38.67,259.13,3935.21,35000
2026-01-09,9,48,east,Mexico,developing,Team E,Jack,291,282,194,139,112,64,57,8,55,4,20,522.41,3587.61,20.78,253.35,3334.26,35000
2026-01-09,9,48,east,Mexico,developing,Team F,Kelly,413,406,286,238,181,102,79,9,64,4,22,631.34,4483.93,52.81,363.03,4120.9,35000
2026-01-09,9,48,east,Mexico,developing,Team F,Leo,415,407,297,251,223,137,115,9,77,2,24,388.8,5016.51,17.87,317.1,4699.41,35000
2026-01-10,10,49,east,Mexico,developing,Team A,Cathy,419,412,282,230,185,110,77,7,76,2,24,262.49,4705.32,15.49,362.09,4343.23,35000
2026-01-10,10,49,east,Mexico,developing,Team A,Alice,300,293,198,178,139,69,44,5,53,2,14,409.16,2653.16,29.75,204.71,2448.45,35000
2026-01-10,10,49,east,Mexico,developing,Team B,Ben,316,311,230,191,161,106,69,6,56,3,18,715.14,3292.21,21.77,188.36,3103.85,35000
2026-01-10,10,49,east,Mexico,developing,Team B,David,391,384,269,242,214,138,105,9,68,2,23,411.12,4955.57,25.13,394.37,4561.2,35000
2026-01-10,10,49,east,Mexico,developing,Team C,Emma,326,320,233,167,129,86,54,8,44,2,9,311.83,1704.79,11.14,97.37,1607.42,35000
2026-01-10,10,49,east,Mexico,developing,Team C,Frank,397,389,291,203,161,86,71,6,66,3,24,472.84,3945.52,26.74,241.14,3704.38,35000
2026-01-10,10,49,east,Mexico,developing,Team D,Grace,295,288,212,155,112,75,47,8,53,4,20,636.45,3054.32,18.38,198.84,2855.48,35000
2026-01-10,10,49,east,Mexico,developing,Team D,Henry,304,295,194,144,123,78,69,5,56,1,17,232.2,2864.76,18.86,221.95,2642.81,35000
2026-01-10,10,49,east,Mexico,developing,Team E,Ivy,364,357,222,158,141,100,84,7,77,2,26,245.27,4439.61,23.75,282.88,4156.73,35000
2026-01-10,10,49,east,Mexico,developing,Team E,Jack,291,281,174,156,117,71,55,7,62,1,21,152.35,3739.96,14.35,267.7,3472.26,35000
2026-01-10,10,49,east,Mexico,developing,Team F,Kelly,413,405,269,196,154,111,66,6,70,3,25,566.56,5050.49,65.08,428.11,4622.38,35000
2026-01-10,10,49,east,Mexico,developing,Team F,Leo,415,406,302,248,178,103,75,6,83,2,26,400.82,5417.33,26.15,343.25,5074.08,35000
2026-01-11,11,50,east,Mexico,developing,Team A,Cathy,419,412,269,212,187,116,80,9,85,4,28,637.27,5342.59,19.88,381.97,4960.62,35000
2026-01-11,11,50,east,Mexico,developing,Team A,Alice,300,291,187,161,120,77,62,8,61,3,17,387.29,3040.45,39.89,244.6,2795.85,35000
2026-01-11,11,50,east,Mexico,developing,Team B,Ben,316,310,211,175,130,73,47,5,61,1,19,248.24,3540.45,24.56,212.92,3327.53,35000
2026-01-11,11,50,east,Mexico,developing,Team B,David,391,384,238,169,150,85,60,7,75,3,26,396.2,5351.77,18.33,412.7,4939.07,35000
2026-01-11,11,50,east,Mexico,developing,Team C,Emma,326,320,220,196,174,129,110,4,48,2,11,444.79,2149.58,14.45,111.82,2037.76,35000
2026-01-11,11,50,east,Mexico,developing,Team C,Frank,397,389,259,190,148,100,71,7,73,1,25,164.57,4110.09,13.92,255.06,3855.03,35000
2026-01-11,11,50,east,Mexico,developing,Team D,Grace,295,288,181,149,125,80,53,8,61,3,23,482.09,3536.41,16.33,215.17,3321.24,35000
2026-01-11,11,50,east,Mexico,developing,Team D,Henry,304,295,203,172,126,68,52,7,63,3,20,747.65,3612.41,33.6,255.55,3356.86,35000
2026-01-11,11,50,east,Mexico,developing,Team E,Ivy,364,355,217,163,137,89,67,7,84,2,28,366.32,4805.93,43.84,326.72,4479.21,35000
2026-01-11,11,50,east,Mexico,developing,Team E,Jack,291,279,200,142,122,91,73,5,67,1,22,204.4,3944.36,5.29,272.99,3671.37,35000
2026-01-11,11,50,east,Mexico,developing,Team F,Kelly,413,405,294,237,184,93,77,5,75,2,27,250.84,5301.33,12.42,440.53,4860.8,35000
2026-01-11,11,50,east,Mexico,developing,Team F,Leo,415,406,253,196,161,108,88,9,92,3,29,723.55,6140.88,33.32,376.57,5764.31,35000
2026-01-12,12,51,east,Mexico,developing,Team A,Cathy,419,412,280,211,151,112,85,5,90,2,30,412.11,5754.7,28.75,410.72,5343.98,35000
2026-01-12,12,51,east,Mexico,developing,Team A,Alice,300,290,201,179,159,96,71,4,65,1,18,143.93,3184.38,9.57,254.17,2930.21,35000
2026-01-12,12,51,east,Mexico,developing,Team B,Ben,316,308,185,142,105,59,50,7,68,2,21,500.34,4040.79,59.4,272.32,3768.47,35000
2026-01-12,12,51,east,Mexico,developing,Team B,David,391,383,268,203,173,122,85,5,80,2,28,494.62,5846.39,37.85,450.55,5395.84,35000
2026-01-12,12,51,east,Mexico,developing,Team C,Emma,326,320,232,208,158,81,55,3,51,0,11,0.0,2149.58,0.0,111.82,2037.76,35000
2026-01-12,12,51,east,Mexico,developing,Team C,Frank,397,388,233,205,163,92,57,9,82,3,28,608.03,4718.12,69.57,324.63,4393.49,35000
2026-01-12,12,51,east,Mexico,developing,Team D,Grace,295,287,208,170,152,78,50,5,66,2,25,320.32,3856.73,35.27,250.44,3606.29,35000
2026-01-12,12,51,east,Mexico,developing,Team D,Henry,304,294,184,158,134,72,53,5,68,1,21,189.88,3802.29,22.57,278.12,3524.17,35000
2026-01-12,12,51,east,Mexico,developing,Team E,Ivy,364,354,219,193,155,94,82,8,92,3,31,561.08,5367.01,29.19,355.91,5011.1,35000
2026-01-12,12,51,east,Mexico,developing,Team E,Jack,291,278,185,157,115,83,65,3,70,1,23,207.21,4151.57,11.29,284.28,3867.29,35000
2026-01-12,12,51,east,Mexico,developing,Team F,Kelly,413,404,243,177,125,66,56,5,80,2,29,274.27,5575.6,27.67,468.2,5107.4,35000
2026-01-12,12,51,east,Mexico,developing,Team F,Leo,415,406,245,203,159,94,68,8,100,3,32,619.05,6759.93,73.11,449.68,6310.25,35000
2026-01-13,13,52,east,Mexico,developing,Team A,Cathy,419,412,249,210,157,78,49,7,97,3,33,716.65,6471.35,39.25,449.97,6021.38,35000
2026-01-13,13,52,east,Mexico,developing,Team A,Alice,300,289,204,173,125,88,53,7,72,2,20,435.33,3619.71,46.34,300.51,3319.2,35000
2026-01-13,13,52,east,Mexico,developing,Team B,Ben,316,306,201,141,124,88,54,6,74,3,24,656.78,4697.57,72.16,344.48,4353.09,35000
2026-01-13,13,52,east,Mexico,developing,Team B,David,391,383,276,201,165,85,55,5,85,1,29,164.32,6010.71,10.24,460.79,5549.92,35000
2026-01-13,13,52,east,Mexico,developing,Team C,Emma,326,319,220,166,137,87,55,8,59,4,15,511.73,2661.31,35.02,146.84,2514.47,35000
2026-01-13,13,52,east,Mexico,developing,Team C,Frank,397,388,236,186,153,101,61,7,89,2,30,483.16,5201.28,27.11,351.74,4849.54,35000
2026-01-13,13,52,east,Mexico,developing,Team D,Grace,295,286,210,166,132,70,53,6,72,3,28,745.73,4602.46,26.14,276.58,4325.88,35000
2026-01-13,13,52,east,Mexico,developing,Team D,Henry,304,294,194,153,137,85,58,5,73,2,23,377.81,4180.1,34.34,312.46,3867.64,35000
2026-01-13,13,52,east,Mexico,developing,Team E,Ivy,364,354,260,197,172,103,83,8,100,3,34,583.26,5950.27,55.97,411.88,5538.39,35000
2026-01-13,13,52,east,Mexico,developing,Team E,Jack,291,277,178,158,116,63,49,4,74,1,24,180.85,4332.42,5.39,289.67,4042.75,35000
2026-01-13,13,52,east,Mexico,developing,Team F,Kelly,413,403,261,182,159,106,81,10,90,5,34,1232.23,6807.83,130.31,598.51,6209.32,35000
2026-01-13,13,52,east,Mexico,developing,Team F,Leo,415,406,283,250,205,102,67,6,106,2,34,430.94,7190.87,50.35,500.03,6690.84,35000
2026-01-14,14,53,east,Mexico,developing,Team A,Cathy,419,410,256,180,157,85,73,7,104,1,34,178.08,6649.43,19.92,469.89,6179.54,35000
2026-01-14,14,53,east,Mexico,developing,Team A,Alice,300,289,216,179,143,103,62,6,78,1,21,249.81,3869.52,27.66,328.17,3541.35,35000
2026-01-14,14,53,east,Mexico,developing,Team B,Ben,316,305,192,157,141,86,75,3,77,0,24,0.0,4697.57,0.0,344.48,4353.09,35000
2026-01-14,14,53,east,Mexico,developing,Team B,David,391,382,255,202,175,118,95,10,95,3,32,665.68,6676.39,40.33,501.12,6175.27,35000
2026-01-14,14,53,east,Mexico,developing,Team C,Emma,326,317,195,161,118,85,63,4,63,2,17,335.5,2996.81,36.45,183.29,2813.52,35000
2026-01-14,14,53,east,Mexico,developing,Team C,Frank,397,386,272,244,180,96,84,10,99,4,34,943.94,6145.22,63.33,415.07,5730.15,35000
2026-01-14,14,53,east,Mexico,developing,Team D,Grace,295,286,214,180,162,120,88,5,77,1,29,241.51,4843.97,5.28,281.86,4562.11,35000
2026-01-14,14,53,east,Mexico,developing,Team D,Henry,304,293,199,158,130,66,45,4,77,2,25,464.54,4644.64,29.98,342.44,4302.2,35000
2026-01-14,14,53,east,Mexico,developing,Team E,Ivy,364,352,231,177,130,95,73,5,105,2,36,486.47,6436.74,14.83,426.71,6010.03,35000
2026-01-14,14,53,east,Mexico,developing,Team E,Jack,291,277,195,164,130,84,69,7,81,1,25,215.72,4548.14,13.06,302.73,4245.41,35000
2026-01-14,14,53,east,Mexico,developing,Team F,Kelly,413,403,263,193,140,84,55,9,99,4,38,669.98,7477.81,18.85,617.36,6860.45,35000
2026-01-14,14,53,east,Mexico,developing,Team F,Leo,415,404,292,222,191,111,99,10,116,3,37,692.44,7883.31,49.82,549.85,7333.46,35000
2026-01-15,15,54,east,Mexico,developing,Team A,Cathy,419,409,265,188,153,80,63,5,109,2,36,285.62,6935.05,24.09,493.98,6441.07,35000
2026-01-15,15,54,east,Mexico,developing,Team A,Alice,300,289,201,180,147,75,47,5,83,1,22,146.22,4015.74,16.81,344.98,3670.76,35000
2026-01-15,15,54,east,Mexico,developing,Team B,Ben,316,305,183,129,103,65,46,3,80,1,25,192.59,4890.16,16.31,360.79,4529.37,35000
2026-01-15,15,54,east,Mexico,developing,Team B,David,391,382,254,200,179,111,95,9,104,3,35,778.61,7455.0,30.01,531.13,6923.87,35000
2026-01-15,15,54,east,Mexico,developing,Team C,Emma,326,315,233,185,159,81,65,5,68,2,19,339.67,3336.48,9.63,192.92,3143.56,35000
2026-01-15,15,54,east,Mexico,developing,Team C,Frank,397,385,272,237,168,126,113,9,108,3,37,466.36,6611.58,28.13,443.2,6168.38,35000
2026-01-15,15,54,east,Mexico,developing,Team D,Grace,295,286,180,138,104,57,39,8,85,4,33,856.07,5700.04,60.49,342.35,5357.69,35000
2026-01-15,15,54,east,Mexico,developing,Team D,Henry,304,292,191,149,128,84,70,8,85,3,28,758.73,5403.37,85.31,427.75,4975.62,35000
2026-01-15,15,54,east,Mexico,developing,Team E,Ivy,364,351,243,192,142,106,64,8,113,4,40,652.08,7088.82,72.89,499.6,6589.22,35000
2026-01-15,15,54,east,Mexico,developing,Team E,Jack,291,276,175,145,109,76,56,8,89,3,28,440.79,4988.93,19.32,322.05,4666.88,35000
2026-01-15,15,54,east,Mexico,developing,Team F,Kelly,413,402,281,241,214,107,80,9,108,4,42,495.29,7973.1,18.51,635.87,7337.23,35000
2026-01-15,15,54,east,Mexico,developing,Team F,Leo,415,404,303,229,169,121,79,7,123,3,40,374.56,8257.87,32.53,582.38,7675.49,35000
2026-01-16,16,55,east,Mexico,developing,Team A,Cathy,419,408,246,176,152,82,51,5,114,1,37,220.03,7155.08,7.11,501.09,6653.99,35000
