report_date,operation_day,total_day,region,market,market_type,team,sales_rep,total_inflow,retained_users,read_users_today,conversation_users_today,reply_users_today,deep_reply_users_today,follow_up_actions_today,new_accounts_today,total_accounts,paying_users_today,total_paying_users,revenue_today,total_revenue,refund_today,total_refund,net_revenue,team_marketing_cost
2026-01-09,9,63,west,Brazil,developing,Team B,Penny,341,338,235,196,164,113,97,5,55,2,17,538.28,3419.64,19.09,165.18,3254.46,45000
2026-01-09,9,63,west,Brazil,developing,Team C,Quinn,419,412,304,261,224,127,95,6,74,2,23,574.23,5328.81,39.86,329.37,4999.44,45000
2026-01-09,9,63,west,Brazil,developing,Team C,Ruby,480,474,335,256,211,137,113,9,93,4,36,609.57,8072.77,66.23,510.39,7562.38,45000
2026-01-09,9,63,west,Brazil,developing,Team D,Sam,391,382,271,236,204,118,101,7,73,3,25,533.83,5147.63,56.35,411.72,4735.91,45000
2026-01-09,9,63,west,Brazil,developing,Team D,Tina,343,337,218,160,112,62,47,4,43,1,13,168.16,2542.26,15.43,169.37,2372.89,45000
2026-01-09,9,63,west,Brazil,developing,Team E,Uri,335,328,219,165,118,77,64,7,50,1,13,285.2,2864.25,28.66,273.64,2590.61,45000
2026-01-09,9,63,west,Brazil,developing,Team E,Vera,410,401,289,255,195,105,73,9,73,4,24,1137.7,5483.13,52.41,326.43,5156.7,45000
2026-01-10,10,64,west,Brazil,developing,Team A,Mason,468,462,346,269,207,151,130,11,99,4,38,1152.79,8734.28,90.81,621.82,8112.46,45000
2026-01-10,10,64,west,Brazil,developing,Team A,Nora,371,360,224,187,143,101,89,5,68,1,19,295.1,4165.09,23.11,275.43,3889.66,45000
2026-01-10,10,64,west,Brazil,developing,Team B,Oscar,388,379,267,237,197,107,78,7,71,1,22,234.59,5117.37,24.91,391.7,4725.67,45000
2026-01-10,10,64,west,Brazil,developing,Team B,Penny,341,336,214,170,144,84,64,8,63,2,19,500.31,3919.95,23.23,188.41,3731.54,45000
2026-01-10,10,64,west,Brazil,developing,Team C,Quinn,419,410,287,210,167,119,87,5,79,2,25,397.08,5725.89,38.14,367.51,5358.38,45000
2026-01-10,10,64,west,Brazil,developing,Team C,Ruby,480,474,345,303,253,166,144,13,106,4,40,942.12,9014.89,25.76,536.15,8478.74,45000
2026-01-10,10,64,west,Brazil,developing,Team D,Sam,391,381,275,213,179,109,86,10,83,2,27,326.35,5473.98,37.15,448.87,5025.11,45000
2026-01-10,10,64,west,Brazil,developing,Team D,Tina,343,337,251,204,159,90,66,4,47,1,14,236.47,2778.73,23.04,192.41,2586.32,45000
2026-01-10,10,64,west,Brazil,developing,Team E,Uri,335,328,222,167,145,95,63,7,57,3,16,800.84,3665.09,74.87,348.51,3316.58,45000
2026-01-10,10,64,west,Brazil,developing,Team E,Vera,410,400,279,223,183,126,105,7,80,1,25,191.65,5674.78,14.16,340.59,5334.19,45000
2026-01-11,11,65,west,Brazil,developing,Team A,Mason,468,462,307,262,192,101,60,14,113,3,41,487.57,9221.85,22.15,643.97,8577.88,45000
2026-01-11,11,65,west,Brazil,developing,Team A,Nora,371,359,219,180,147,74,45,5,73,2,21,554.14,4719.23,42.0,317.43,4401.8,45000
2026-01-11,11,65,west,Brazil,developing,Team B,Oscar,388,378,281,249,195,106,74,10,81,5,27,1209.47,6326.84,25.1,416.8,5910.04,45000
2026-01-11,11,65,west,Brazil,developing,Team B,Penny,341,335,204,156,123,92,80,4,67,1,20,175.53,4095.48,15.2,203.61,3891.87,45000
2026-01-11,11,65,west,Brazil,developing,Team C,Quinn,419,410,264,235,204,152,117,6,85,3,28,648.5,6374.39,61.67,429.18,5945.21,45000
2026-01-11,11,65,west,Brazil,developing,Team C,Ruby,480,473,298,241,178,109,91,14,120,3,43,809.01,9823.9,29.11,565.26,9258.64,45000
2026-01-11,11,65,west,Brazil,developing,Team D,Sam,391,380,256,229,195,109,76,9,92,3,30,812.2,6286.18,47.63,496.5,5789.68,45000
2026-01-11,11,65,west,Brazil,developing,Team D,Tina,343,336,234,207,178,127,86,4,51,2,16,459.75,3238.48,49.3,241.71,2996.77,45000
2026-01-11,11,65,west,Brazil,developing,Team E,Uri,335,326,199,151,132,72,44,4,61,1,17,170.09,3835.18,15.02,363.53,3471.65,45000
2026-01-11,11,65,west,Brazil,developing,Team E,Vera,410,398,243,215,163,112,81,7,87,1,26,267.66,5942.44,20.38,360.97,5581.47,45000
2026-01-12,12,66,west,Brazil,developing,Team A,Mason,468,461,335,252,225,153,112,12,125,3,44,662.57,9884.42,18.83,662.8,9221.62,45000
2026-01-12,12,66,west,Brazil,developing,Team A,Nora,371,359,250,216,174,127,84,9,82,2,23,362.71,5081.94,34.86,352.29,4729.65,45000
2026-01-12,12,66,west,Brazil,developing,Team B,Oscar,388,377,251,201,141,78,70,10,91,5,32,828.82,7155.66,40.88,457.68,6697.98,45000
2026-01-12,12,66,west,Brazil,developing,Team B,Penny,341,335,250,204,167,116,87,7,74,2,22,289.81,4385.29,5.96,209.57,4175.72,45000
2026-01-12,12,66,west,Brazil,developing,Team C,Quinn,419,409,292,237,205,150,132,5,90,2,30,529.78,6904.17,17.57,446.75,6457.42,45000
2026-01-12,12,66,west,Brazil,developing,Team C,Ruby,480,472,325,284,249,166,104,13,133,7,50,1616.35,11440.25,184.84,750.1,10690.15,45000
2026-01-12,12,66,west,Brazil,developing,Team D,Sam,391,379,282,199,175,108,76,8,100,3,33,474.31,6760.49,38.09,534.59,6225.9,45000
2026-01-12,12,66,west,Brazil,developing,Team D,Tina,343,334,225,167,131,69,57,4,55,2,18,538.34,3776.82,53.26,294.97,3481.85,45000
2026-01-12,12,66,west,Brazil,developing,Team E,Uri,335,326,235,171,133,74,51,7,68,3,20,529.39,4364.57,12.03,375.56,3989.01,45000
2026-01-12,12,66,west,Brazil,developing,Team E,Vera,410,398,286,250,217,120,93,5,92,2,28,504.15,6446.59,38.39,399.36,6047.23,45000
2026-01-13,13,67,west,Brazil,developing,Team A,Mason,468,461,300,225,196,146,97,14,139,7,51,1265.1,11149.52,121.08,783.88,10365.64,45000
2026-01-13,13,67,west,Brazil,developing,Team A,Nora,371,359,249,202,142,104,81,6,88,3,26,473.14,5555.08,23.24,375.53,5179.55,45000
2026-01-13,13,67,west,Brazil,developing,Team B,Oscar,388,377,274,201,178,99,88,7,98,3,35,669.92,7825.58,43.8,501.48,7324.1,45000
2026-01-13,13,67,west,Brazil,developing,Team B,Penny,341,335,233,183,156,91,55,6,80,1,23,202.47,4587.76,10.32,219.89,4367.87,45000
2026-01-13,13,67,west,Brazil,developing,Team C,Quinn,419,407,294,226,201,104,78,10,100,5,35,998.29,7902.46,56.57,503.32,7399.14,45000
2026-01-13,13,67,west,Brazil,developing,Team C,Ruby,480,470,331,234,204,108,65,12,145,4,54,854.96,12295.21,64.23,814.33,11480.88,45000
2026-01-13,13,67,west,Brazil,developing,Team D,Sam,391,378,251,175,141,75,54,5,105,2,35,505.76,7266.25,35.99,570.58,6695.67,45000
2026-01-13,13,67,west,Brazil,developing,Team D,Tina,343,333,218,196,151,103,86,3,58,1,19,247.75,4024.57,18.87,313.84,3710.73,45000
2026-01-13,13,67,west,Brazil,developing,Team E,Uri,335,326,217,153,135,95,67,6,74,3,23,423.73,4788.3,26.2,401.76,4386.54,45000
2026-01-13,13,67,west,Brazil,developing,Team E,Vera,410,396,241,191,171,96,76,10,102,5,33,1274.2,7720.79,40.37,439.73,7281.06,45000
2026-01-14,14,68,west,Brazil,developing,Team A,Mason,468,460,299,243,199,111,98,8,147,4,55,811.31,11960.83,26.77,810.65,11150.18,45000
2026-01-14,14,68,west,Brazil,developing,Team A,Nora,371,359,265,228,179,125,112,5,93,1,27,284.81,5839.89,26.84,402.37,5437.52,45000
2026-01-14,14,68,west,Brazil,developing,Team B,Oscar,388,376,279,212,148,86,72,7,105,3,38,643.98,8469.56,44.07,545.55,7924.01,45000
2026-01-14,14,68,west,Brazil,developing,Team B,Penny,341,334,223,178,127,80,49,7,87,1,24,263.79,4851.55,22.36,242.25,4609.3,45000
2026-01-14,14,68,west,Brazil,developing,Team C,Quinn,419,406,257,197,155,89,80,10,110,3,38,693.74,8596.2,34.14,537.46,8058.74,45000
2026-01-14,14,68,west,Brazil,developing,Team C,Ruby,480,470,312,234,174,107,69,14,159,7,61,1645.09,13940.3,170.05,984.38,12955.92,45000
2026-01-14,14,68,west,Brazil,developing,Team D,Sam,391,378,274,219,183,126,100,8,113,3,38,578.86,7845.11,43.93,614.51,7230.6,45000
2026-01-14,14,68,west,Brazil,developing,Team D,Tina,343,332,209,180,146,85,74,6,64,3,22,597.61,4622.18,42.85,356.69,4265.49,45000
2026-01-14,14,68,west,Brazil,developing,Team E,Uri,335,325,224,173,134,73,50,7,81,3,26,858.99,5647.29,87.21,488.97,5158.32,45000
2026-01-14,14,68,west,Brazil,developing,Team E,Vera,410,396,241,197,171,93,80,6,108,1,34,216.44,7937.23,12.18,451.91,7485.32,45000
2026-01-15,15,69,west,Brazil,developing,Team A,Mason,468,458,301,223,198,103,63,9,156,4,59,859.19,12820.02,62.04,872.69,11947.33,45000
2026-01-15,15,69,west,Brazil,developing,Team A,Nora,371,359,244,204,178,133,79,5,98,2,29,480.35,6320.24,10.79,413.16,5907.08,45000
2026-01-15,15,69,west,Brazil,developing,Team B,Oscar,388,375,228,201,140,94,65,5,110,2,40,437.56,8907.12,11.58,557.13,8349.99,45000
2026-01-15,15,69,west,Brazil,developing,Team B,Penny,341,334,204,153,115,75,56,5,92,2,26,312.92,5164.47,18.11,260.36,4904.11,45000
2026-01-15,15,69,west,Brazil,developing,Team C,Quinn,419,406,265,228,179,112,91,10,120,2,40,545.89,9142.09,13.57,551.03,8591.06,45000
2026-01-15,15,69,west,Brazil,developing,Team C,Ruby,480,469,342,300,220,116,79,8,167,4,65,731.75,14672.05,31.19,1015.57,13656.48,45000
2026-01-15,15,69,west,Brazil,developing,Team D,Sam,391,378,273,209,175,87,66,6,119,3,41,472.16,8317.27,44.84,659.35,7657.92,45000
2026-01-15,15,69,west,Brazil,developing,Team D,Tina,343,331,222,169,146,96,65,7,71,2,24,462.7,5084.88,38.98,395.67,4689.21,45000
2026-01-15,15,69,west,Brazil,developing,Team E,Uri,335,325,196,152,121,65,40,8,89,4,30,1077.28,6724.57,70.38,559.35,6165.22,45000
2026-01-15,15,69,west,Brazil,developing,Team E,Vera,410,396,286,210,166,124,105,6,114,1,35,284.59,8221.82,28.1,480.01,7741.81,45000
2026-01-16,16,70,west,Brazil,developing,Team A,Mason,468,458,308,259,198,104,83,12,168,4,63,616.72,13436.74,16.92,889.61,12547.13,45000
2026-01-16,16,70,west,Brazil,developing,Team A,Nora,371,359,239,187,150,110,78,7,105,2,31,554.67,6874.91,14.4,427.56,6447.35,45000
2026-01-16,16,70,west,Brazil,developing,Team B,Oscar,388,374,267,196,147,86,62,10,120,5,45,1333.8,10240.92,34.7,591.83,9649.09,45000
2026-01-16,16,70,west,Brazil,developing,Team B,Penny,341,334,235,187,131,86,70,3,95,0,26,0.0,5164.47,0.0,260.36,4904.11,45000
2026-01-16,16,70,west,Brazil,developing,Team C,Quinn,419,405,262,210,151,94,63,6,126,1,41,297.56,9439.65,29.85,580.88,8858.77,45000
2026-01-16,16,70,west,Brazil,developing,Team C,Ruby,480,469,331,289,218,110,71,10,177,3,68,521.88,15193.93,28.43,1044.0,14149.93,45000
2026-01-16,16,70,west,Brazil,developing,Team D,Sam,391,378,255,213,159,81,72,7,126,2,43,444.08,8761.35,9.86,669.21,8092.14,45000
2026-01-16,16,70,west,Brazil,developing,Team D,Tina,343,331,217,159,122,82,56,4,75,1,25,151.91,5236.79,9.25,404.92,4831.87,45000
2026-01-16,16,70,west,Brazil,developing,Team E,Uri,335,323,227,195,144,78,56,4,93,1,31,169.96,6894.53,11.77,571.12,6323.41,45000
2026-01-16,16,70,west,Brazil,developing,Team E,Vera,410,395,284,234,184,126,82,5,119,1,36,202.75,8424.57,23.41,503.42,7921.15,45000
2026-01-17,17,71,west,Brazil,developing,Team A,Mason,468,457,341,267,210,135,82,13,181,5,68,925.21,14361.95,35.5,925.11,13436.84,45000
2026-01-17,17,71,west,Brazil,developing,Team A,Nora,371,358,236,176,141,88,71,10,115,2,33,562.55,7437.46,52.03,479.59,6957.87,45000
2026-01-17,17,71,west,Brazil,developing,Team B,Oscar,388,374,269,217,190,107,82,8,128,3,48,756.26,10997.18,75.72,667.55,10329.63,45000
2026-01-17,17,71,west,Brazil,developing,Team B,Penny,341,333,249,198,160,100,79,3,98,1,27,154.9,5319.37,5.04,265.4,5053.97,45000
2026-01-17,17,71,west,Brazil,developing,Team C,Quinn,419,404,275,213,156,109,81,5,131,1,42,238.08,9677.73,14.12,595.0,9082.73,45000
2026-01-17,17,71,west,Brazil,developing,Team C,Ruby,480,467,317,237,194,130,78,12,189,4,72,1117.17,16311.1,37.32,1081.32,15229.78,45000
2026-01-17,17,71,west,Brazil,developing,Team D,Sam,391,377,279,221,158,96,65,7,133,3,46,624.9,9386.25,71.17,740.38,8645.87,45000
2026-01-17,17,71,west,Brazil,developing,Team D,Tina,343,329,224,169,128,89,76,7,82,2,27,556.24,5793.03,23.46,428.38,5364.65,45000
2026-01-17,17,71,west,Brazil,developing,Team E,Uri,335,323,231,193,160,86,67,6,99,3,34,701.78,7596.31,20.02,591.14,7005.17,45000
2026-01-17,17,71,west,Brazil,developing,Team E,Vera,410,393,239,194,159,93,56,9,128,3,39,458.37,8882.94,24.63,528.05,8354.89,45000
2026-01-18,18,72,west,Brazil,developing,Team A,Mason,468,457,342,295,250,166,102,14,195,7,75,1536.41,15898.36,66.06,991.17,14907.19,45000
2026-01-18,18,72,west,Brazil,developing,Team A,Nora,371,356,258,215,181,113,99,7,122,1,34,210.24,7647.7,12.79,492.38,7155.32,45000
2026-01-18,18,72,west,Brazil,developing,Team B,Oscar,388,372,260,200,161,93,75,7,135,2,50,456.29,11453.47,14.18,681.73,10771.74,45000
2026-01-18,18,72,west,Brazil,developing,Team B,Penny,341,333,217,174,130,80,60,8,106,2,29,359.21,5678.58,31.03,296.43,5382.15,45000
2026-01-18,18,72,west,Brazil,developing,Team C,Quinn,419,402,294,242,204,130,84,5,136,1,43,207.06,9884.79,16.87,611.87,9272.92,45000
2026-01-18,18,72,west,Brazil,developing,Team C,Ruby,480,465,282,248,198,114,99,9,198,3,75,676.5,16987.6,60.17,1141.49,15846.11,45000
2026-01-18,18,72,west,Brazil,developing,Team D,Sam,391,377,261,191,149,74,62,9,142,4,50,717.81,10104.06,23.96,764.34,9339.72,45000
2026-01-18,18,72,west,Brazil,developing,Team D,Tina,343,329,198,163,138,77,61,4,86,2,29,443.42,6236.45,14.56,442.94,5793.51,45000
2026-01-18,18,72,west,Brazil,developing,Team E,Uri,335,321,201,159,131,69,49,6,105,3,37,423.2,8019.51,10.03,601.17,7418.34,45000
